

De volgende Dispatch werd gegenereerd: 
	model.Dispatch nr. 1 bevindt zich op Brusselsestraat 5

De volgende Voertuigen werden gegenereerd: [
	model.Voertuig nr. 1 bevindt zich op Schapenstraat 5 met nummerplaat 1-XEK-292, en is van het merk VW, 
	model.Voertuig nr. 2 bevindt zich op Vesaliusstraat 6 met nummerplaat 1-RRR-391, en is van het merk Porche, 
	model.Voertuig nr. 3 bevindt zich op Herenstraat 8 met nummerplaat 1-WWH-015, en is van het merk Toyota, 
	model.Voertuig nr. 4 bevindt zich op Tiensestraat 8 met nummerplaat 1-HSE-466, en is van het merk Mercedes, 
	model.Voertuig nr. 5 bevindt zich op Naamsevest 1 met nummerplaat 1-GHW-703, en is van het merk Opel, 
	model.Voertuig nr. 6 bevindt zich op Diestevest 5 met nummerplaat 1-VIY-738, en is van het merk Renault, 
	model.Voertuig nr. 7 bevindt zich op Naamsestraat 10 met nummerplaat 1-ALH-390, en is van het merk Porche, 
	model.Voertuig nr. 8 bevindt zich op Capucijnenvoer 4 met nummerplaat 1-TIO-165, en is van het merk Dacia, 
	model.Voertuig nr. 9 bevindt zich op Pieter de somer plein 1 met nummerplaat 1-WQO-456, en is van het merk Toyota, 
	model.Voertuig nr. 10 bevindt zich op Pieter de somer plein 7 met nummerplaat 1-ONL-654, en is van het merk Range Rover, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 11 bevindt zich op Vanwayenberglaan 2 met nummerplaat 1-OLR-340, en is van het merk Citroën, 
	model.Voertuig nr. 12 bevindt zich op Capucijnenvoer 4 met nummerplaat 1-QUC-044, en is van het merk Range Rover, 
	model.Voertuig nr. 13 bevindt zich op Pieter de somer plein 1 met nummerplaat 1-YFM-471, en is van het merk Citroën, 
	model.Voertuig nr. 14 bevindt zich op Pieter de somer plein 5 met nummerplaat 1-UPT-933, en is van het merk Mercedes, 
	model.Voertuig nr. 15 bevindt zich op Diestevest 10 met nummerplaat 1-QBA-108, en is van het merk Hyundai, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 16 bevindt zich op Diestestraat 1 met nummerplaat 1-FCE-443, en is van het merk BMW, 
	model.Voertuig nr. 17 bevindt zich op Brusselsestraat 2 met nummerplaat 1-FNC-770, en is van het merk Mitsubishi, 
	model.Voertuig nr. 18 bevindt zich op Vanwayenberglaan 7 met nummerplaat 1-JOH-137, en is van het merk Porche, 
	model.Voertuig nr. 19 bevindt zich op Naamsestraat 4 met nummerplaat 1-LGS-395, en is van het merk Jaguar, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 20 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-KQJ-121, en is van het merk Nissan, 
	model.Voertuig nr. 21 bevindt zich op Naamsestraat 4 met nummerplaat 1-AEK-160, en is van het merk Mitsubishi, 
	model.Voertuig nr. 22 bevindt zich op Diestestraat 1 met nummerplaat 1-BBC-052, en is van het merk Range Rover, 
	model.Voertuig nr. 23 bevindt zich op Pieter de somer plein 9 met nummerplaat 1-ZFO-310, en is van het merk Ford, 
	model.Voertuig nr. 24 bevindt zich op Herenstraat 8 met nummerplaat 1-IAL-745, en is van het merk Hyundai, 
	model.Voertuig nr. 25 bevindt zich op Pieter de somer plein 5 met nummerplaat 1-HWM-591, en is van het merk Mercedes, 
	model.Voertuig nr. 26 bevindt zich op Brouwersstraat 7 met nummerplaat 1-YLM-132, en is van het merk Porche, 
	model.Voertuig nr. 27 bevindt zich op Tiensestraat 3 met nummerplaat 1-PIN-440, en is van het merk Seat, 
	model.Voertuig nr. 28 bevindt zich op Tiensestraat 5 met nummerplaat 1-NQY-510, en is van het merk Opel, 
	model.Voertuig nr. 29 bevindt zich op Schapenstraat 5 met nummerplaat 1-NKW-138, en is van het merk Lada, 
	model.Voertuig nr. 30 bevindt zich op Capucijnenvoer 3 met nummerplaat 1-YPX-183, en is van het merk Renault, en is geseind want Gestolen, 
	model.Voertuig nr. 31 bevindt zich op Vesaliusstraat 6 met nummerplaat 1-LSJ-820, en is van het merk Hyundai, 
	model.Voertuig nr. 32 bevindt zich op Naamsevest 2 met nummerplaat 1-EFP-770, en is van het merk Renault, 
	model.Voertuig nr. 33 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-SZG-006, en is van het merk BMW, 
	model.Voertuig nr. 34 bevindt zich op Schapenstraat 7 met nummerplaat 1-UPP-249, en is van het merk Dacia, 
	model.Voertuig nr. 35 bevindt zich op Tiensevest 7 met nummerplaat 1-PQY-512, en is van het merk Jaguar, 
	model.Voertuig nr. 36 bevindt zich op Diestevest 10 met nummerplaat 1-DHB-981, en is van het merk Seat, 
	model.Voertuig nr. 37 bevindt zich op Brusselsestraat 10 met nummerplaat 1-QWC-721, en is van het merk Porche, 
	model.Voertuig nr. 38 bevindt zich op Brouwersstraat 7 met nummerplaat 1-EQJ-912, en is van het merk Mitsubishi, 
	model.Voertuig nr. 39 bevindt zich op Brouwersstraat 7 met nummerplaat 1-AXI-684, en is van het merk Dacia, 
	model.Voertuig nr. 40 bevindt zich op Tiensestraat 5 met nummerplaat 1-CMX-274, en is van het merk Citroën, 
	model.Voertuig nr. 41 bevindt zich op Naamsestraat 7 met nummerplaat 1-TPI-418, en is van het merk Ford, 
	model.Voertuig nr. 42 bevindt zich op Schapenstraat 5 met nummerplaat 1-WCP-579, en is van het merk VW, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 43 bevindt zich op Tiensevest 8 met nummerplaat 1-SUS-219, en is van het merk Mitsubishi, 
	model.Voertuig nr. 44 bevindt zich op Pieter de somer plein 9 met nummerplaat 1-DUE-360, en is van het merk Renault, 
	model.Voertuig nr. 45 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-BSO-676, en is van het merk BMW, 
	model.Voertuig nr. 46 bevindt zich op Tiensestraat 5 met nummerplaat 1-FHV-591, en is van het merk Renault, 
